query_id,config_name,agent_type,embedding_model,reranker_model,k,metric,score,iterations
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
0,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
1,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.5,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.5,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
2,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.5,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
3,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,2
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,2
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,2
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,2
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,2
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,2
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,2
4,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,2
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,1
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,1
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.5,1
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.5,1
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
5,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.5,1
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,0.0,3
6,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.0,3
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
7,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
8,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
9,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,3
10,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.16666666666666666,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.3333333333333333,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.3333333333333333,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,3
11,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.3333333333333333,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,3
12,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.16666666666666666,3
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
13,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,1
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,1
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.5,1
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
